no	sex	IQ	height	AZ	LZ
1	male	105	157,59	3	2
2	male	118	182,7	2	2
3	male	92	190,27	4	4
4	male	138	186,03	2	3
5	male	133	196,48	2	3
6	male	104	156,25	3	3
7	male	151	171,73	4	4
8	male	98	165,03	4	3
9	male	104	172,22	3	3
10	male	91	192,45	5	2
11	male	93	184,12	3	3
12	male	123	208,03	3	4
13	male	98	179,65	2	3
14	male	58	202,92	4	4
15	male	79	214,24	1	1
16	male	106	178,74	3	1
17	male	95	155,86	5	5
18	male	118	178,52	2	3
19	male	104	185,94	3	5
20	male	92	167,75	3	3
21	male	121	205,22	4	5
22	male	90	193,61	2	2
23	male	79	173,91	3	1
24	male	96	198,72	4	4
25	male	82	201,94	5	2
26	male	124	192,22	3	3
27	male	99	208,19	4	4
28	male	86	180,1	3	5
29	male	86	174,51	3	2
30	male	83	167,46	4	2
31	male	76	184,4	1	2
32	male	111	167,31	5	4
33	male	95	204,39	3	2
34	male	113	178,28	3	2
35	male	95	179,82	3	2
36	male	101	160,5	3	4
37	male	103	177,72	3	4
38	male	105	183,92	4	3
39	male	118	165,75	4	3
40	male	111	159,62	3	1
41	male	106	174,2	3	3
42	male	94	212,06	2	2
43	female	100	208,14	3	2
44	female	102	173,74	3	4
45	female	105	186,04	5	5
46	female	119	186,58	4	2
47	female	111	190,9	3	3
48	female	83	189,17	5	2
49	female	84	187,68	2	3
50	female	101	190,94	4	4
51	female	75	183,07	4	5
52	female	100	150,43	3	4
53	female	116	170,7	3	4
54	female	85	181,89	4	3
55	female	104	167,68	2	4
56	female	105	149,13	4	5
57	female	116	146,44	4	5
58	female	81	143,91	2	2
59	female	101	174,59	2	3
60	female	73	159,25	3	3
61	female	95	167,49	4	4
62	female	86	165,59	3	3
63	female	87	174,1	3	3
64	female	86	159,49	3	4
65	female	98	167,16	5	5
66	female	100	150,21	3	3
67	female	76	171,92	3	3
68	female	78	155,66	2	3
69	female	113	177,22	3	2
70	female	100	180,62	5	5
71	female	83	146,97	2	1
72	female	79	152,62	4	4
73	female	101	137,92	3	3
74	female	79	157,09	3	3
75	female	73	169,31	4	3
76	female	116	175,59	2	3
77	female	110	158,57	5	5
78	female	88	141,88	5	5
79	female	103	173,77	2	3
80	female	84	166,49	3	2
81	female	101	168,57	3	3
82	female	67	153,16	4	4
83	female	75	153,86	4	3
84	female	101	141,21	2	3
85	female	116	146,03	3	3
86	female	82	168,15	2	4
87	female	127	160,71	2	2
88	female	129	165,93	3	5
89	female	118	153,7	1	1
90	female	94	169,17	4	3
91	female	105	146,86	3	3
92	female	85	140,13	1	1
93	female	116	170,09	4	3
94	female	94	155,45	3	3
95	female	114	154,52	2	4
96	female	97	144,49	4	3
97	female	98	147,79	1	1
98	female	121	160,41	5	4
99	female	102	150,14	2	3
100	female	90	175,52	3	3
