ID,Januar,Februar,März,April,Mai,Juni,Juli,August,September,Oktober,November,Dezember,kaelteempfindlich,Studienfach,Geschlecht,Geb_Monat,Geb_Tag,Alter
1,1,2,3,4,5,6,7,8,8,9,9,9,2,0,0,3,3,34
2,1,2,3,4,5,6,7,8,9,10,1,2,5,0,0,6,30,23
3,2,2,3,3,10,8,8,9,10,7,3,7,5,0,0,11,5,38
4,4,4,5,6,7,9,9,8,8,7,2,10,6,0,0,7,21,27
5,9,7,6,5,6,8,10,10,9,8,6,7,3,1,0,8,23,20
6,2,2,6,6,10,10,10,10,10,10,4,7,9,0,0,10,25,35
7,2,3,3,6,6,7,8,8,8,4,3,3,7,0,0,9,24,20
8,9,9,9,8,9,9,9,10,10,9,9,10,7,0,0,2,9,19
9,1,2,6,8,7,9,9,9,7,6,1,3,8,1,0,4,12,21
10,4,4,6,7,10,7,7,7,9,8,8,9,8,0,0,3,2,25
11,2,2,5,5,6,7,10,10,7,7,7,10,3,0,0,7,2,21
12,8,7,4,5,9,9,9,9,7,7,8,10,8,0,0,5,14,18
13,5,3,7,10,10,10,10,10,7,8,9,10,5,0,0,5,10,25
14,3,3,5,5,6,8,8,9,9,8,5,4,7,0,0,10,10,21
15,4,4,7,8,8,10,10,10,7,5,5,7,8,0,1,4,28,19
16,9,8,5,4,6,8,10,10,9,9,6,10,6,0,0,10,11,25
17,8,5,5,4,10,10,10,10,8,8,7,9,3,1,0,5,28,19
18,8,3,4,6,7,10,10,10,8,7,3,7,3,0,1,1,7,20
19,1,2,7,10,9,10,10,10,9,7,4,2,10,0,0,4,7,19
20,8,7,8,8,9,9,10,10,6,3,3,6,7,0,0,6,27,18
21,1,2,2,2,5,8,10,10,6,8,4,10,10,0,0,10,30,19
22,2,2,3,4,0,10,10,10,9,8,7,4,8,1,0,8,30,20
23,2,1,4,5,8,8,9,10,9,5,1,7,8,0,0,12,31,19
24,5,6,7,8,9,10,10,9,8,7,6,10,8,1,1,12,7,21
25,1,1,2,2,4,4,4,4,3,3,2,1,7,1,1,8,2,25
26,4,3,5,6,8,7,7,6,7,8,6,10,3,0,0,12,19,20
27,3,3,3,4,10,10,10,10,7,6,4,3,5,1,1,5,14,19
28,7,7,7,6,8,8,8,10,8,8,7,9,7,0,1,12,24,19
29,1,,2,2,6,,10,10,9,4,2,9,8,0,0,12,25,22
30,2,1,3,4,5,6,8,8,8,8,4,5,7,1,1,7,24,19
31,1,1,3,2,8,8,7,8,8,6,3,2,9,1,0,9,29,20
32,6,6,6,5,6,7,8,8,8,9,7,8,3,0,1,7,14,32
33,2,3,4,10,10,8,7,7,8,10,6,10,5,1,0,5,1,19
34,4,6,9,7,8,8,7,6,5,2,2,6,8,1,0,3,6,19
35,1,2,5,5,6,8,8,9,10,6,4,1,9,0,0,3,5,21
36,9,8,9,8,10,10,10,10,10,9,7,10,10,0,0,3,8,19
37,6,3,4,6,6,8,7,10,9,6,4,4,9,0,0,1,26,21
38,5,5,5,7,7,7,7,6,8,5,9,9,5,1,1,11,20,21
39,3,1,1,4,6,8,10,10,7,7,4,8,10,0,1,12,1,25
40,3,3,4,4,9,10,10,10,7,3,2,7,10,0,0,1,3,19
41,5,2,7,6,6,8,10,9,7,5,0,8,9,0,0,1,1,24
42,3,5,6,7,8,8,10,10,7,5,1,5,8,1,0,4,15,19
43,5,4,6,5,8,9,9,9,7,6,6,10,3,0,0,8,28,26
44,6,6,7,5,7,9,7,9,8,8,7,8,6,1,0,2,1,20
45,4,2,5,6,9,10,9,8,8,9,3,10,7,0,0,12,19,19
46,3,2,9,4,6,7,5,8,4,4,4,8,2,1,0,3,5,20
47,5,3,10,6,9,8,8,10,9,6,5,8,6,0,0,3,25,20
48,7,8,6,7,9,10,10,9,10,9,7,10,8,0,0,10,24,20
49,6,6,7,7,8,7,7,9,10,8,6,7,9,0,0,9,26,19
50,1,1,2,4,6,10,10,10,8,8,4,5,10,0,0,10,10,19
