"";"Preis";"Typ";"Getriebe";"PS";"kilometer";"Kraftstoff";"Marke";"alter";"brandModel"
"1";6250;"kombi";"manuell";140;150000;"diesel";"audi";9;"audi_a4"
"2";5300;"kleinwagen";"manuell";80;70000;"benzin";"opel";9;"opel_corsa"
"3";2760;"kleinwagen";"manuell";77;150000;"diesel";"fiat";10;"fiat_punto"
"4";600;"kleinwagen";"manuell";60;150000;"benzin";"ford";19;"ford_ka"
"5";599;"kleinwagen";"manuell";56;150000;"benzin";"daihatsu";17;"daihatsu_cuore"
"6";19599;"kombi";"automatik";170;80000;"diesel";"volkswagen";5;"volkswagen_passat"
"7";16200;"kombi";"manuell";177;150000;"diesel";"audi";4;"audi_a4"
"8";28500;"limousine";"manuell";230;20000;"benzin";"volkswagen";2;"volkswagen_golf"
"9";7000;"kombi";"automatik";177;150000;"benzin";"audi";11;"audi_a6"
"10";8200;"limousine";"manuell";140;125000;"benzin";"opel";6;"opel_astra"
"11";31900;"cabrio";"automatik";306;125000;"benzin";"mercedes_benz";14;"mercedes_benz_sl"
"12";6799;"cabrio";"manuell";170;150000;"benzin";"audi";13;"audi_a4"
"13";3500;"kleinwagen";"manuell";90;125000;"benzin";"opel";8;"opel_corsa"
"14";3900;"kombi";"manuell";143;150000;"benzin";"bmw";15;"bmw_3er"
"15";890;"limousine";"manuell";75;150000;"benzin";"volkswagen";20;"volkswagen_golf"
"16";1550;"limousine";"manuell";136;150000;"diesel";"bmw";17;"bmw_3er"
"17";2200;"kombi";"manuell";130;150000;"benzin";"ford";12;"ford_mondeo"
"18";2300;"limousine";"manuell";69;1e+07;"benzin";"volkswagen";25;"volkswagen_golf"
"19";1199;"kleinwagen";"manuell";40;150000;"benzin";"opel";18;"opel_corsa"
"20";1190;"limousine";"manuell";75;150000;"benzin";"volkswagen";17;"volkswagen_golf"
"21";5599;"limousine";"manuell";200;125000;"benzin";"mercedes_benz";10;"mercedes_benz_b_klasse"
"22";3500;"limousine";"automatik";193;150000;"benzin";"bmw";16;"bmw_5er"
"23";7990;"limousine";"manuell";82;150000;"diesel";"mercedes_benz";4;"mercedes_benz_a_klasse"
"24";9750;"limousine";"manuell";170;150000;"diesel";"volkswagen";8;"volkswagen_passat"
"25";1400;"bus";"automatik";101;150000;"diesel";"opel";12;"opel_zafira"
"26";6999;"limousine";"automatik";110;150000;"diesel";"ford";7;"ford_focus"
"27";3500;"kombi";"manuell";125;150000;"diesel";"opel";13;"opel_signum"
"28";12990;"limousine";"automatik";177;125000;"diesel";"bmw";9;"bmw_x_reihe"
"29";5500;"bus";"automatik";122;150000;"diesel";"mercedes_benz";16;"mercedes_benz_vito"
"30";1100;"bus";"automatik";149;150000;"benzin";"ford";19;"ford_galaxy"
"31";13990;"limousine";"manuell";122;125000;"benzin";"volkswagen";7;"volkswagen_golf"
"32";20950;"suv";"automatik";156;150000;"diesel";"mercedes_benz";13;"mercedes_benz_g_klasse"
"33";5490;"kombi";"manuell";150;150000;"benzin";"skoda";11;"skoda_octavia"
"34";4400;"kombi";"automatik";140;150000;"diesel";"audi";10;"audi_a4"
"35";30450;"limousine";"manuell";177;40000;"diesel";"audi";2;"audi_q5"
"36";2100;"kombi";"manuell";136;150000;"diesel";"mazda";12;"mazda_6_reihe"
"37";999;"limousine";"manuell";144;150000;"benzin";"alfa_romeo";17;"alfa_romeo_156"
"38";11500;"kombi";"manuell";160;90000;"diesel";"opel";6;"opel_insignia"
"39";1550;"kleinwagen";"manuell";60;125000;"benzin";"ford";14;"ford_ka"
"40";5200;"kombi";"manuell";69;90000;"benzin";"skoda";7;"skoda_fabia"
"41";8200;"suv";"automatik";174;150000;"diesel";"volkswagen";11;"volkswagen_touareg"
"42";15999;"bus";"automatik";140;20000;"benzin";"volkswagen";4;"volkswagen_touran"
"43";12590;"limousine";"manuell";105;50000;"benzin";"volkswagen";4;"volkswagen_beetle"
"44";2222;"limousine";"manuell";101;150000;"benzin";"volkswagen";18;"volkswagen_golf"
